Song,Artist,Length,Genre,Datetime,Star_Rating
Song254,The Shins,142.0,Indie,2023-07-23 07:42:08.095267,4
Song54,Arcade Fire,218.0,Indie,2023-07-13 17:12:08.095267,3
Song153,Moby,133.0,Techno,2023-07-30 11:00:08.095267,5
Song124,Vampire Weekend,135.0,Indie,2023-07-22 18:23:08.095267,3
Song194,The Shins,172.0,Indie,2023-07-19 21:21:08.095267,3
Song123,Carl Cox,352.0,Techno,2023-08-03 11:01:08.095267,2
Song114,Death Cab for Cutie,265.0,Indie,2023-07-10 04:32:08.095267,3
Song123,Carl Cox,352.0,Techno,2023-07-22 04:21:08.095267,3
Song167,Dolly Parton,154.0,Country,2023-07-07 23:27:08.095267,5
Song194,The Shins,172.0,Indie,2023-07-06 05:17:08.095267,4
Song144,Modest Mouse,202.0,Indie,2023-07-06 00:51:08.095267,4
Song44,Death Cab for Cutie,129.0,Indie,2023-08-04 14:21:08.095267,5
Song207,Dolly Parton,187.0,Country,2023-07-19 10:44:08.095267,2
Song253,Richie Hawtin,150.0,Techno,2023-07-24 08:31:08.095267,5
Song163,The Chemical Brothers,184.0,Techno,2023-07-27 02:05:08.095267,5
Song163,The Chemical Brothers,184.0,Techno,2023-07-09 20:21:08.095267,5
Song74,The Shins,221.0,Indie,2023-07-13 07:55:08.095267,2
Song184,Arcade Fire,222.0,Indie,2023-07-05 13:15:08.095267,3
Song184,Arcade Fire,222.0,Indie,2023-07-29 01:09:08.095267,4
Song267,Dolly Parton,148.0,Country,2023-07-29 05:31:08.095267,5
Song207,Dolly Parton,187.0,Country,2023-07-24 23:43:08.095267,3
Song227,George Strait,258.0,Country,2023-07-30 05:23:08.095267,5
Song187,Dolly Parton,177.0,Country,2023-07-22 10:36:08.095267,5
Song193,Carl Cox,328.0,Techno,2023-07-24 19:40:08.095267,3
Song74,The Shins,221.0,Indie,2023-08-01 02:35:08.095267,3
Song47,Dolly Parton,137.0,Country,2023-07-26 23:47:08.095267,4
Song274,Modest Mouse,311.0,Indie,2023-07-09 08:44:08.095267,2
Song137,Willie Nelson,335.0,Country,2023-07-29 17:52:08.095267,3
Song273,Richie Hawtin,254.0,Techno,2023-07-23 11:20:08.096361,5
Song293,Richie Hawtin,132.0,Techno,2023-07-28 20:56:08.096367,3
Song34,Arcade Fire,249.0,Indie,2023-07-28 01:01:08.096367,5
Song134,Arctic Monkeys,133.0,Indie,2023-07-18 09:58:08.096367,2
Song157,Johnny Cash,171.0,Country,2023-07-21 18:07:08.096367,4
Song203,Jeff Mills,251.0,Techno,2023-08-04 12:46:08.096367,2
Song54,Arcade Fire,218.0,Indie,2023-07-20 06:37:08.096367,4
Song54,Arcade Fire,218.0,Indie,2023-07-10 19:16:08.096367,5
Song33,Carl Cox,134.0,Techno,2023-07-19 04:24:08.096367,5
Song113,The Chemical Brothers,274.0,Techno,2023-07-18 21:04:08.096367,3
Song224,Arctic Monkeys,270.0,Indie,2023-07-14 23:20:08.096367,2
Song144,Modest Mouse,202.0,Indie,2023-07-13 09:18:08.096367,5
Song67,Reba McEntire,290.0,Country,2023-07-10 09:24:08.096367,3
Song43,Moby,199.0,Techno,2023-07-29 22:24:08.096367,5
Song283,Moby,198.0,Techno,2023-07-17 13:16:08.096367,5
Song257,George Strait,281.0,Country,2023-08-02 23:03:08.096367,4
Song253,Richie Hawtin,150.0,Techno,2023-08-03 08:37:08.096367,5
Song34,Arcade Fire,249.0,Indie,2023-07-08 11:57:08.096367,5
Song43,Moby,199.0,Techno,2023-07-19 07:26:08.096367,5
Song154,Arctic Monkeys,223.0,Indie,2023-07-06 23:20:08.096367,3
Song283,Moby,198.0,Techno,2023-08-02 20:19:08.096367,5
Song297,Willie Nelson,344.0,Country,2023-07-28 20:02:08.096367,3
Song217,George Strait,264.0,Country,2023-07-27 04:59:08.096367,2
Song153,Moby,133.0,Techno,2023-07-14 02:41:08.096367,5
Song157,Johnny Cash,171.0,Country,2023-07-30 08:01:08.096367,5
Song293,Richie Hawtin,132.0,Techno,2023-07-11 13:10:08.096367,4
Song224,Arctic Monkeys,270.0,Indie,2023-07-04 20:52:08.096367,3
Song137,Willie Nelson,335.0,Country,2023-08-01 11:22:08.096367,4
Song113,The Chemical Brothers,274.0,Techno,2023-07-14 13:30:08.096367,4
Song114,Death Cab for Cutie,265.0,Indie,2023-07-24 12:21:08.096367,4
Song223,Jeff Mills,139.0,Techno,2023-07-20 04:32:08.096367,2
Song87,Dolly Parton,313.0,Country,2023-07-22 13:56:08.096367,2
Song23,Richie Hawtin,166.0,Techno,2023-07-31 02:37:08.096367,3
Song227,George Strait,258.0,Country,2023-07-13 20:39:08.096367,5
Song117,Dolly Parton,253.0,Country,2023-07-19 20:28:08.096367,3
