Song,Artist,Length,Genre,Datetime,Star_Rating
Song151,The Rolling Stones,194.0,Rock,2023-07-20 20:58:08.096367,2
Song221,U2,190.0,Rock,2023-07-25 03:57:08.096367,3
Song125,John Coltrane,148.0,Jazz,2023-07-31 08:29:08.096367,5
Song205,Miles Davis,286.0,Jazz,2023-07-30 06:03:08.096367,5
Song261,Coldplay,249.0,Rock,2023-07-26 21:40:08.096367,3
Song5,Ella Fitzgerald,238.0,Jazz,2023-07-30 17:51:08.096367,4
Song21,The Rolling Stones,320.0,Rock,2023-07-23 02:39:08.096367,4
Song155,Billie Holiday,328.0,Jazz,2023-07-25 06:20:08.096367,4
Song11,Coldplay,332.0,Rock,2023-07-16 12:39:08.096367,3
Song291,Foo Fighters,296.0,Rock,2023-07-31 11:52:08.096367,4
Song155,Billie Holiday,328.0,Jazz,2023-07-06 12:20:08.096367,5
Song151,The Rolling Stones,194.0,Rock,2023-07-09 15:48:08.096367,3
Song15,Herbie Hancock,141.0,Jazz,2023-07-27 08:11:08.096367,2
Song205,Miles Davis,286.0,Jazz,2023-07-12 04:09:08.096367,5
Song291,Foo Fighters,296.0,Rock,2023-07-10 05:38:08.096367,5
Song191,Green Day,236.0,Rock,2023-07-31 10:32:08.096367,5
Song185,Louis Armstrong,217.0,Jazz,2023-07-30 08:46:08.096367,5
Song41,Foo Fighters,161.0,Rock,2023-07-27 19:47:08.096367,5
Song161,Foo Fighters,168.0,Rock,2023-07-07 17:05:08.096367,3
Song271,The Rolling Stones,318.0,Rock,2023-07-31 17:51:08.096367,3
Song161,Foo Fighters,168.0,Rock,2023-07-25 20:48:08.096367,4
Song191,Green Day,236.0,Rock,2023-07-13 18:40:08.096367,5
Song281,The Rolling Stones,315.0,Rock,2023-07-11 16:18:08.096367,4
Song91,The Rolling Stones,282.0,Rock,2023-07-25 04:23:08.096367,5
Song15,Herbie Hancock,141.0,Jazz,2023-08-03 17:53:08.096367,3
Song5,Ella Fitzgerald,238.0,Jazz,2023-07-06 22:26:08.096367,5
Song35,Louis Armstrong,281.0,Jazz,2023-07-19 04:48:08.096367,2
Song231,U2,150.0,Rock,2023-07-15 09:22:08.096367,5
Song35,Louis Armstrong,281.0,Jazz,2023-07-21 21:17:08.096367,3
Song261,Coldplay,249.0,Rock,2023-08-04 10:13:08.096367,4
Song241,Foo Fighters,249.0,Rock,2023-07-28 22:30:08.096367,2
Song5,Ella Fitzgerald,238.0,Jazz,2023-07-21 18:28:08.096367,5
Song221,U2,190.0,Rock,2023-07-26 15:21:08.096367,4
Song121,Foo Fighters,342.0,Rock,2023-07-28 05:59:08.096367,3
Song291,Foo Fighters,296.0,Rock,2023-07-11 04:18:08.096367,5
Song95,Miles Davis,351.0,Jazz,2023-07-26 20:40:08.096367,3
Song95,Miles Davis,351.0,Jazz,2023-07-15 21:59:08.096367,4
Song111,U2,185.0,Rock,2023-07-15 18:54:08.096367,4
Song41,Foo Fighters,161.0,Rock,2023-07-14 22:18:08.096367,5
Song121,Foo Fighters,342.0,Rock,2023-07-25 06:28:08.096367,4
Song95,Miles Davis,351.0,Jazz,2023-07-18 04:26:08.096367,5
Song121,Foo Fighters,342.0,Rock,2023-07-28 07:05:08.096367,5
Song51,U2,249.0,Rock,2023-07-13 20:45:08.096367,4
Song85,John Coltrane,190.0,Jazz,2023-07-29 01:12:08.096367,3
Song65,Billie Holiday,169.0,Jazz,2023-07-18 04:16:08.096367,3
Song11,Coldplay,332.0,Rock,2023-07-19 16:23:08.096367,4
