Song,Artist,Length,Genre,Datetime,Star_Rating
Song110,Madonna,138.0,Pop,2023-07-23 09:26:08.096367,5
Song160,Britney Spears,125.0,Pop,2023-07-17 15:18:08.096367,4
Song266,Robert Johnson,121.0,Blues,2023-08-03 11:07:08.096367,4
Song220,Britney Spears,198.0,Pop,2023-07-22 18:09:08.096367,2
Song40,Madonna,149.0,Pop,2023-07-19 11:39:08.096367,5
Song290,Madonna,160.0,Pop,2023-08-01 12:04:08.096367,4
Song60,Justin Timberlake,281.0,Pop,2023-07-30 12:46:08.096367,2
Song256,B.B. King,149.0,Blues,2023-08-04 09:14:08.096367,5
Song216,Stevie Ray Vaughan,147.0,Blues,2023-07-26 18:55:08.096367,3
Song226,John Lee Hooker,288.0,Blues,2023-07-06 11:38:08.096367,2
Song6,Stevie Ray Vaughan,293.0,Blues,2023-07-20 18:27:08.096367,5
Song166,Stevie Ray Vaughan,189.0,Blues,2023-07-05 13:47:08.096367,2
Song30,Katy Perry,265.0,Pop,2023-07-25 13:11:08.096367,2
Song150,Justin Timberlake,343.0,Pop,2023-07-12 04:54:08.096367,5
Song160,Britney Spears,125.0,Pop,2023-07-12 18:14:08.096367,5
Song106,Eric Clapton,227.0,Blues,2023-07-15 00:00:08.096367,4
Song10,Christina Aguilera,134.0,Pop,2023-07-26 21:27:08.096367,3
Song270,Britney Spears,208.0,Pop,2023-08-03 08:15:08.096367,5
Song270,Britney Spears,208.0,Pop,2023-07-11 15:05:08.096367,5
Song100,Britney Spears,132.0,Pop,2023-07-26 06:37:08.096367,5
Song10,Christina Aguilera,134.0,Pop,2023-07-05 06:51:08.096367,4
Song146,B.B. King,136.0,Blues,2023-07-26 20:08:08.096367,4
Song40,Madonna,149.0,Pop,2023-07-28 08:27:08.096367,5
Song40,Madonna,149.0,Pop,2023-07-11 04:10:08.096367,5
Song226,John Lee Hooker,288.0,Blues,2023-08-03 23:52:08.096367,3
Song210,Britney Spears,330.0,Pop,2023-07-10 15:25:08.096367,3
Song236,Stevie Ray Vaughan,283.0,Blues,2023-07-11 22:23:08.096367,4
Song150,Justin Timberlake,343.0,Pop,2023-07-21 10:07:08.096367,5
Song216,Stevie Ray Vaughan,147.0,Blues,2023-07-26 19:28:08.096367,4
Song106,Eric Clapton,227.0,Blues,2023-07-13 03:22:08.096367,5
Song70,Taylor Swift,233.0,Pop,2023-07-24 21:08:08.096367,2
Song86,John Lee Hooker,164.0,Blues,2023-07-25 21:29:08.096367,5
Song56,B.B. King,297.0,Blues,2023-07-20 19:14:08.096367,5
Song260,Britney Spears,351.0,Pop,2023-07-31 16:52:08.096367,2
Song256,B.B. King,149.0,Blues,2023-07-26 23:50:08.096367,5
Song150,Justin Timberlake,343.0,Pop,2023-07-12 18:45:08.096367,5
Song30,Katy Perry,265.0,Pop,2023-08-01 20:29:08.096367,3
Song70,Taylor Swift,233.0,Pop,2023-07-10 13:03:08.096367,3
Song60,Justin Timberlake,281.0,Pop,2023-08-01 16:43:08.096367,3
Song66,Stevie Ray Vaughan,156.0,Blues,2023-07-11 12:06:08.096367,5
Song86,John Lee Hooker,164.0,Blues,2023-07-24 04:37:08.096367,5
Song26,B.B. King,236.0,Blues,2023-07-23 09:22:08.096367,5
Song190,Justin Timberlake,201.0,Pop,2023-07-23 12:57:08.096367,5
Song46,Muddy Waters,263.0,Blues,2023-07-11 22:33:08.096367,5
