Song,Artist,Length,Genre,Datetime,Star_Rating
Song113,The Chemical Brothers,274.0,Techno,2023-07-22 03:33:08.096367,4
Song16,Robert Johnson,353.0,Blues,2023-07-12 17:26:08.096367,4
Song123,Carl Cox,352.0,Techno,2023-07-16 18:31:08.096367,4
Song63,The Chemical Brothers,121.0,Techno,2023-07-12 16:24:08.096367,5
Song166,Stevie Ray Vaughan,189.0,Blues,2023-07-18 20:33:08.096367,3
Song73,The Chemical Brothers,158.0,Techno,2023-07-12 11:55:08.096367,5
Song24,Death Cab for Cutie,259.0,Indie,2023-07-06 11:33:08.096367,5
Song174,Vampire Weekend,339.0,Indie,2023-07-16 15:51:08.096367,2
Song206,Robert Johnson,131.0,Blues,2023-07-21 08:45:08.096367,3
Song213,Jeff Mills,221.0,Techno,2023-07-19 04:01:08.096367,3
Song186,Stevie Ray Vaughan,194.0,Blues,2023-08-03 07:44:08.096367,4
Song176,Muddy Waters,331.0,Blues,2023-07-16 06:39:08.096367,2
Song253,Richie Hawtin,150.0,Techno,2023-07-11 12:45:08.096367,4
Song203,Jeff Mills,251.0,Techno,2023-07-24 07:15:08.096367,5
Song144,Modest Mouse,202.0,Indie,2023-07-06 06:05:08.096367,5
Song33,Carl Cox,134.0,Techno,2023-07-22 20:49:08.096367,5
Song226,John Lee Hooker,288.0,Blues,2023-08-04 09:06:08.096367,2
Song256,B.B. King,149.0,Blues,2023-07-24 17:16:08.096367,3
Song134,Arctic Monkeys,133.0,Indie,2023-07-24 18:47:08.096367,5
Song3,Jeff Mills,358.0,Techno,2023-07-11 09:28:08.096367,3
Song74,The Shins,221.0,Indie,2023-07-22 00:50:08.096367,5
Song133,Daft Punk,233.0,Techno,2023-07-09 01:11:08.096367,5
Song13,Daft Punk,341.0,Techno,2023-07-24 17:23:08.096367,5
Song256,B.B. King,149.0,Blues,2023-07-09 09:17:08.096367,4
Song234,Vampire Weekend,154.0,Indie,2023-07-16 06:59:08.096367,4
Song213,Jeff Mills,221.0,Techno,2023-08-02 21:58:08.096367,4
Song146,B.B. King,136.0,Blues,2023-07-10 16:00:08.096367,5
Song174,Vampire Weekend,339.0,Indie,2023-07-14 13:35:08.096367,3
Song166,Stevie Ray Vaughan,189.0,Blues,2023-07-25 21:09:08.096367,4
Song94,The Shins,204.0,Indie,2023-07-17 12:19:08.096367,4
Song246,B.B. King,193.0,Blues,2023-07-27 20:51:08.096367,3
Song73,The Chemical Brothers,158.0,Techno,2023-07-07 15:16:08.096367,5
Song226,John Lee Hooker,288.0,Blues,2023-07-29 09:28:08.096367,3
Song226,John Lee Hooker,288.0,Blues,2023-07-15 11:05:08.096367,4
Song136,Eric Clapton,128.0,Blues,2023-07-23 08:16:08.096367,5
Song36,Muddy Waters,315.0,Blues,2023-07-27 02:28:08.096367,2
Song216,Stevie Ray Vaughan,147.0,Blues,2023-08-03 16:28:08.096367,3
Song66,Stevie Ray Vaughan,156.0,Blues,2023-07-29 00:46:08.096367,5
Song266,Robert Johnson,121.0,Blues,2023-07-07 20:18:08.096367,3
Song234,Vampire Weekend,154.0,Indie,2023-07-17 17:23:08.096367,5
Song153,Moby,133.0,Techno,2023-07-14 20:55:08.096367,5
Song144,Modest Mouse,202.0,Indie,2023-07-16 13:35:08.096367,5
Song203,Jeff Mills,251.0,Techno,2023-07-19 03:37:08.096367,5
Song264,Vampire Weekend,130.0,Indie,2023-07-14 05:36:08.096367,5
Song133,Daft Punk,233.0,Techno,2023-07-20 18:57:08.096367,5
Song66,Stevie Ray Vaughan,156.0,Blues,2023-07-21 06:04:08.096367,5
Song3,Jeff Mills,358.0,Techno,2023-07-19 19:16:08.104378,4
Song234,Vampire Weekend,154.0,Indie,2023-07-21 03:58:08.104378,5
Song43,Moby,199.0,Techno,2023-07-24 10:47:08.104378,2
Song253,Richie Hawtin,150.0,Techno,2023-07-15 07:02:08.104378,5
Song186,Stevie Ray Vaughan,194.0,Blues,2023-07-12 20:36:08.104378,5
Song54,Arcade Fire,218.0,Indie,2023-08-04 05:50:08.104378,5
Song124,Vampire Weekend,135.0,Indie,2023-07-10 17:31:08.104378,5
Song166,Stevie Ray Vaughan,189.0,Blues,2023-07-06 04:48:08.104378,5
Song134,Arctic Monkeys,133.0,Indie,2023-07-22 11:58:08.104378,5
Song54,Arcade Fire,218.0,Indie,2023-07-13 11:35:08.104378,5
Song93,The Chemical Brothers,282.0,Techno,2023-07-10 09:19:08.104378,2
Song254,The Shins,142.0,Indie,2023-07-06 22:24:08.104378,2
Song13,Daft Punk,341.0,Techno,2023-07-07 03:24:08.104378,5
Song114,Death Cab for Cutie,265.0,Indie,2023-07-26 09:13:08.104378,2
Song133,Daft Punk,233.0,Techno,2023-07-18 16:46:08.104378,5
Song153,Moby,133.0,Techno,2023-07-21 17:16:08.104378,5
Song184,Arcade Fire,222.0,Indie,2023-07-20 09:12:08.104378,4
Song33,Carl Cox,134.0,Techno,2023-07-18 15:20:08.104378,5
Song103,Jeff Mills,312.0,Techno,2023-07-15 09:51:08.104883,5
Song113,The Chemical Brothers,274.0,Techno,2023-07-12 21:19:08.104883,5
Song214,The Shins,260.0,Indie,2023-07-11 01:00:08.104883,4
Song34,Arcade Fire,249.0,Indie,2023-07-08 00:03:08.104883,2
Song243,Richie Hawtin,281.0,Techno,2023-07-17 11:31:08.104883,5
Song226,John Lee Hooker,288.0,Blues,2023-07-23 12:29:08.104883,5
Song26,B.B. King,236.0,Blues,2023-07-30 12:59:08.104883,2
Song286,John Lee Hooker,154.0,Blues,2023-07-05 16:36:08.104883,5
Song104,Modest Mouse,129.0,Indie,2023-08-02 01:19:08.104883,3
Song16,Robert Johnson,353.0,Blues,2023-07-31 20:20:08.104883,5
Song186,Stevie Ray Vaughan,194.0,Blues,2023-07-09 00:39:08.104883,5
Song103,Jeff Mills,312.0,Techno,2023-07-08 10:16:08.104883,5
Song46,Muddy Waters,263.0,Blues,2023-07-06 13:45:08.104883,4
Song3,Jeff Mills,358.0,Techno,2023-07-10 17:07:08.104883,5
Song43,Moby,199.0,Techno,2023-07-16 20:55:08.104883,3
Song283,Moby,198.0,Techno,2023-08-02 19:51:08.104883,4
Song293,Richie Hawtin,132.0,Techno,2023-07-30 04:28:08.104883,5
Song73,The Chemical Brothers,158.0,Techno,2023-07-11 21:39:08.104883,5
Song244,Arcade Fire,212.0,Indie,2023-07-17 02:43:08.104883,4
Song254,The Shins,142.0,Indie,2023-07-25 21:57:08.104883,3
Song266,Robert Johnson,121.0,Blues,2023-07-22 23:22:08.104883,4
Song166,Stevie Ray Vaughan,189.0,Blues,2023-07-30 14:06:08.104883,5
Song106,Eric Clapton,227.0,Blues,2023-07-20 08:59:08.104883,4
Song146,B.B. King,136.0,Blues,2023-07-25 00:07:08.104883,5
Song104,Modest Mouse,129.0,Indie,2023-07-19 10:05:08.104883,4
Song166,Stevie Ray Vaughan,189.0,Blues,2023-07-25 12:03:08.104883,5
Song294,Modest Mouse,208.0,Indie,2023-08-03 16:01:08.104883,3
