Song,Artist,Length,Genre,Datetime,Star_Rating
Song7,Garth Brooks,208.0,Country,2023-07-09 14:55:08.104883,5
Song77,Johnny Cash,191.0,Country,2023-07-24 00:18:08.104883,5
Song29,Bob Dylan,257.0,Folk,2023-08-02 15:43:08.104883,4
Song240,Christina Aguilera,294.0,Pop,2023-07-11 18:46:08.104883,4
Song240,Christina Aguilera,294.0,Pop,2023-07-20 02:57:08.104883,5
Song88,Kraftwerk,153.0,Electronic,2023-07-05 11:31:08.104883,2
Song290,Madonna,160.0,Pop,2023-07-06 18:33:08.104883,5
Song166,Stevie Ray Vaughan,189.0,Blues,2023-07-13 11:53:08.104883,4
Song26,B.B. King,236.0,Blues,2023-07-13 19:28:08.104883,2
Song166,Stevie Ray Vaughan,189.0,Blues,2023-07-06 02:33:08.104883,5
Song46,Muddy Waters,263.0,Blues,2023-07-28 18:21:08.104883,5
Song40,Madonna,149.0,Pop,2023-07-05 00:14:08.104883,4
Song146,B.B. King,136.0,Blues,2023-07-17 09:41:08.104883,2
Song298,Calvin Harris,320.0,Electronic,2023-07-19 22:06:08.104883,5
Song96,Muddy Waters,291.0,Blues,2023-07-26 05:01:08.104883,3
Song240,Christina Aguilera,294.0,Pop,2023-07-14 06:15:08.104883,5
Song238,Kraftwerk,358.0,Electronic,2023-07-07 18:55:08.104883,2
Song86,John Lee Hooker,164.0,Blues,2023-08-02 10:20:08.104883,5
Song20,Justin Timberlake,203.0,Pop,2023-07-25 14:28:08.104883,2
Song9,Simon & Garfunkel,354.0,Folk,2023-07-18 22:10:08.104883,2
Song156,Stevie Ray Vaughan,228.0,Blues,2023-07-15 02:12:08.104883,4
Song278,Deadmau5,129.0,Electronic,2023-07-25 10:47:08.104883,5
Song8,Skrillex,217.0,Electronic,2023-07-07 10:23:08.104883,5
Song188,Aphex Twin,225.0,Electronic,2023-07-09 19:28:08.104883,5
Song100,Britney Spears,132.0,Pop,2023-07-31 18:48:08.104883,4
Song298,Calvin Harris,320.0,Electronic,2023-07-21 10:49:08.104883,5
Song289,Simon & Garfunkel,131.0,Folk,2023-07-16 23:26:08.104883,2
Song96,Muddy Waters,291.0,Blues,2023-07-18 00:07:08.104883,4
Song129,Bob Dylan,125.0,Folk,2023-07-13 00:49:08.104883,2
Song148,Calvin Harris,176.0,Electronic,2023-07-15 22:06:08.104883,5
Song98,Skrillex,191.0,Electronic,2023-07-18 19:09:08.104883,3
Song199,Joan Baez,317.0,Folk,2023-07-15 15:38:08.104883,5
Song149,Nick Drake,164.0,Folk,2023-07-05 00:14:08.104883,5
Song236,Stevie Ray Vaughan,283.0,Blues,2023-07-13 12:28:08.104883,5
Song116,Stevie Ray Vaughan,234.0,Blues,2023-07-11 15:01:08.104883,2
Song99,Nick Drake,311.0,Folk,2023-07-15 14:01:08.104883,5
Song238,Kraftwerk,358.0,Electronic,2023-07-31 12:18:08.104883,3
Song299,Simon & Garfunkel,287.0,Folk,2023-07-19 19:56:08.104883,2
Song127,Dolly Parton,281.0,Country,2023-07-10 16:47:08.104883,5
Song190,Justin Timberlake,201.0,Pop,2023-07-09 00:55:08.104883,4
Song116,Stevie Ray Vaughan,234.0,Blues,2023-07-08 21:09:08.104883,3
Song249,Simon & Garfunkel,268.0,Folk,2023-07-06 01:31:08.104883,5
