Song,Artist,Length,Genre,Datetime,Star_Rating
Song6,Stevie Ray Vaughan,293.0,Blues,2023-07-26 09:37:08.104883,4
Song106,Eric Clapton,227.0,Blues,2023-08-02 16:50:08.104883,3
Song266,Robert Johnson,121.0,Blues,2023-08-04 02:56:08.104883,2
Song296,Stevie Ray Vaughan,315.0,Blues,2023-07-29 20:01:08.104883,5
Song96,Muddy Waters,291.0,Blues,2023-07-29 15:27:08.104883,2
Song226,John Lee Hooker,288.0,Blues,2023-07-09 10:09:08.104883,5
Song76,Stevie Ray Vaughan,139.0,Blues,2023-07-20 08:03:08.104883,5
Song146,B.B. King,136.0,Blues,2023-07-18 11:33:08.104883,4
Song196,B.B. King,348.0,Blues,2023-07-25 02:09:08.104883,2
Song186,Stevie Ray Vaughan,194.0,Blues,2023-07-31 18:14:08.104883,5
Song266,Robert Johnson,121.0,Blues,2023-07-06 15:11:08.104883,3
Song6,Stevie Ray Vaughan,293.0,Blues,2023-07-18 22:23:08.104883,5
Song126,Stevie Ray Vaughan,319.0,Blues,2023-07-30 11:35:08.104883,3
Song136,Eric Clapton,128.0,Blues,2023-07-05 06:03:08.104883,5
Song146,B.B. King,136.0,Blues,2023-07-27 12:15:08.104883,5
Song56,B.B. King,297.0,Blues,2023-07-27 10:58:08.104883,5
Song206,Robert Johnson,131.0,Blues,2023-08-04 07:14:08.104883,3
Song276,Muddy Waters,303.0,Blues,2023-08-04 02:24:08.104883,5
Song126,Stevie Ray Vaughan,319.0,Blues,2023-07-29 14:01:08.104883,4
Song276,Muddy Waters,303.0,Blues,2023-08-02 15:10:08.104883,5
Song76,Stevie Ray Vaughan,139.0,Blues,2023-07-15 15:03:08.104883,5
Song106,Eric Clapton,227.0,Blues,2023-07-14 14:56:08.104883,4
Song256,B.B. King,149.0,Blues,2023-08-03 14:17:08.104883,5
Song286,John Lee Hooker,154.0,Blues,2023-07-21 14:42:08.104883,5
Song266,Robert Johnson,121.0,Blues,2023-07-29 15:41:08.104883,4
Song36,Muddy Waters,315.0,Blues,2023-07-08 19:32:08.104883,2
Song16,Robert Johnson,353.0,Blues,2023-07-24 18:27:08.104883,3
