Song,Artist,Length,Genre,Datetime,Star_Rating
Song129,Bob Dylan,125.0,Folk,2023-07-24 08:56:08.104883,4
Song99,Nick Drake,311.0,Folk,2023-07-28 18:14:08.104883,2
Song44,Death Cab for Cutie,129.0,Indie,2023-07-21 18:22:08.104883,2
Song204,Modest Mouse,163.0,Indie,2023-07-14 04:33:08.104883,3
Song214,The Shins,260.0,Indie,2023-07-20 13:19:08.104883,3
Song269,Nick Drake,297.0,Folk,2023-07-23 15:54:08.104883,4
Song155,Billie Holiday,328.0,Jazz,2023-07-30 12:26:08.104883,4
Song225,John Coltrane,212.0,Jazz,2023-07-20 04:56:08.104883,2
Song232,Eminem,162.0,Hip-Hop,2023-07-31 04:06:08.104883,2
Song44,Death Cab for Cutie,129.0,Indie,2023-07-30 06:28:08.104883,3
Song159,Joan Baez,181.0,Folk,2023-07-15 22:32:08.104883,5
Song164,Death Cab for Cutie,147.0,Indie,2023-08-01 18:42:08.104883,3
Song205,Miles Davis,286.0,Jazz,2023-07-24 18:10:08.104883,5
Song175,John Coltrane,324.0,Jazz,2023-07-08 15:45:08.104883,4
Song239,Joni Mitchell,303.0,Folk,2023-08-03 00:42:08.104883,2
Song254,The Shins,142.0,Indie,2023-07-19 21:14:08.104883,5
Song52,Eminem,271.0,Hip-Hop,2023-07-06 07:42:08.104883,5
Song5,Ella Fitzgerald,238.0,Jazz,2023-07-27 00:20:08.104883,5
Song234,Vampire Weekend,154.0,Indie,2023-07-12 02:13:08.104883,5
Song35,Louis Armstrong,281.0,Jazz,2023-07-21 05:38:08.104883,4
Song279,Nick Drake,227.0,Folk,2023-07-30 10:09:08.104883,3
Song259,Nick Drake,194.0,Folk,2023-07-09 02:22:08.104883,4
Song274,Modest Mouse,311.0,Indie,2023-07-08 02:50:08.104883,5
Song159,Joan Baez,181.0,Folk,2023-07-23 20:03:08.104883,5
Song289,Simon & Garfunkel,131.0,Folk,2023-07-30 22:43:08.104883,5
Song199,Joan Baez,317.0,Folk,2023-07-14 00:11:08.104883,4
Song265,Louis Armstrong,202.0,Jazz,2023-07-21 07:52:08.104883,5
Song149,Nick Drake,164.0,Folk,2023-07-21 23:24:08.104883,5
Song62,Nas,283.0,Hip-Hop,2023-07-15 02:06:08.104883,5
Song89,Joni Mitchell,126.0,Folk,2023-07-10 05:45:08.104883,5
Song145,Ella Fitzgerald,241.0,Jazz,2023-08-03 03:01:08.104883,5
Song154,Arctic Monkeys,223.0,Indie,2023-07-20 15:39:08.104883,4
Song165,Miles Davis,282.0,Jazz,2023-07-06 13:36:08.104883,5
Song64,Vampire Weekend,215.0,Indie,2023-07-11 20:30:08.104883,5
Song89,Joni Mitchell,126.0,Folk,2023-07-28 05:42:08.104883,5
