Song,Artist,Length,Genre,Datetime,Star_Rating
Song88,Kraftwerk,153.0,Electronic,2023-07-27 22:50:08.104883,5
Song294,Modest Mouse,208.0,Indie,2023-08-01 01:12:08.104883,5
Song55,Louis Armstrong,218.0,Jazz,2023-07-30 21:58:08.104883,4
Song104,Modest Mouse,129.0,Indie,2023-07-18 01:04:08.104883,3
Song272,Jay-Z,301.0,Hip-Hop,2023-07-20 09:13:08.104883,2
Song84,The Shins,347.0,Indie,2023-07-06 08:38:08.104883,4
Song264,Vampire Weekend,130.0,Indie,2023-07-11 13:29:08.104883,4
Song194,The Shins,172.0,Indie,2023-07-30 06:37:08.104883,4
Song242,Eminem,188.0,Hip-Hop,2023-07-13 21:48:08.104883,4
Song162,Nas,306.0,Hip-Hop,2023-08-03 20:04:08.104883,5
Song292,OutKast,140.0,Hip-Hop,2023-07-13 08:02:08.104883,5
Song25,John Coltrane,259.0,Jazz,2023-07-11 07:12:08.104883,3
Song68,Skrillex,349.0,Electronic,2023-08-02 01:32:08.104883,2
Song208,Aphex Twin,300.0,Electronic,2023-07-08 19:12:08.104883,3
Song35,Louis Armstrong,281.0,Jazz,2023-07-06 04:27:08.104883,5
Song92,Jay-Z,326.0,Hip-Hop,2023-08-01 09:08:08.104883,5
Song65,Billie Holiday,169.0,Jazz,2023-07-25 01:08:08.104883,5
Song34,Arcade Fire,249.0,Indie,2023-07-09 17:05:08.104883,4
Song162,Nas,306.0,Hip-Hop,2023-07-04 22:13:08.104883,5
Song235,Louis Armstrong,280.0,Jazz,2023-07-21 02:51:08.104883,5
Song154,Arctic Monkeys,223.0,Indie,2023-07-07 08:16:08.104883,4
Song38,Kraftwerk,295.0,Electronic,2023-07-24 17:57:08.104883,2
Song4,Arcade Fire,150.0,Indie,2023-07-28 18:30:08.104883,3
Song22,Lil Wayne,333.0,Hip-Hop,2023-07-27 00:03:08.104883,5
Song295,Billie Holiday,309.0,Jazz,2023-07-23 01:06:08.104883,2
Song112,Kanye West,269.0,Hip-Hop,2023-07-27 19:16:08.104883,4
Song12,OutKast,251.0,Hip-Hop,2023-07-26 17:59:08.104883,4
Song84,The Shins,347.0,Indie,2023-08-01 01:50:08.104883,5
Song295,Billie Holiday,309.0,Jazz,2023-07-21 13:49:08.104883,3
Song192,Kanye West,152.0,Hip-Hop,2023-07-21 15:05:08.104883,3
Song145,Ella Fitzgerald,241.0,Jazz,2023-07-23 13:29:08.104883,5
Song84,The Shins,347.0,Indie,2023-07-22 23:00:08.104883,5
Song28,Deadmau5,183.0,Electronic,2023-07-16 10:23:08.104883,5
Song195,Billie Holiday,144.0,Jazz,2023-07-14 18:35:08.104883,5
Song264,Vampire Weekend,130.0,Indie,2023-08-03 02:09:08.104883,5
