Song,Artist,Length,Genre,Datetime,Star_Rating
Song2,OutKast,282.0,Hip-Hop,2023-07-09 01:15:08.104883,3
Song152,Nas,290.0,Hip-Hop,2023-08-03 05:19:08.104883,2
Song222,Lil Wayne,123.0,Hip-Hop,2023-08-01 13:09:08.104883,3
Song160,Britney Spears,125.0,Pop,2023-07-24 05:11:08.104883,5
Song70,Taylor Swift,233.0,Pop,2023-07-17 06:08:08.104883,3
Song222,Lil Wayne,123.0,Hip-Hop,2023-08-01 07:58:08.104883,4
Song292,OutKast,140.0,Hip-Hop,2023-07-30 23:27:08.104883,5
Song242,Eminem,188.0,Hip-Hop,2023-07-16 18:42:08.104883,5
Song90,Madonna,300.0,Pop,2023-07-30 17:04:08.104883,2
Song212,Jay-Z,327.0,Hip-Hop,2023-07-11 19:53:08.104883,2
Song90,Madonna,300.0,Pop,2023-07-30 14:49:08.104883,3
Song293,Richie Hawtin,132.0,Techno,2023-07-23 22:27:08.104883,5
Song162,Nas,306.0,Hip-Hop,2023-07-14 08:26:08.104883,2
Song253,Richie Hawtin,150.0,Techno,2023-07-10 16:49:08.104883,5
Song60,Justin Timberlake,281.0,Pop,2023-07-18 01:58:08.104883,2
Song33,Carl Cox,134.0,Techno,2023-07-07 11:17:08.104883,4
Song170,Madonna,134.0,Pop,2023-07-25 01:24:08.104883,4
Song262,Jay-Z,239.0,Hip-Hop,2023-07-17 00:53:08.104883,4
Song270,Britney Spears,208.0,Pop,2023-07-05 02:04:08.104883,4
Song82,Nas,336.0,Hip-Hop,2023-07-27 18:31:08.104883,5
Song133,Daft Punk,233.0,Techno,2023-07-28 21:22:08.104883,4
Song223,Jeff Mills,139.0,Techno,2023-07-10 19:07:08.104883,5
Song220,Britney Spears,198.0,Pop,2023-07-20 21:10:08.104883,5
Song253,Richie Hawtin,150.0,Techno,2023-07-30 02:10:08.104883,5
Song73,The Chemical Brothers,158.0,Techno,2023-07-29 20:36:08.104883,2
Song132,Nas,258.0,Hip-Hop,2023-08-02 11:13:08.104883,5
Song133,Daft Punk,233.0,Techno,2023-07-10 15:49:08.104883,5
Song110,Madonna,138.0,Pop,2023-07-18 02:03:08.104883,5
Song132,Nas,258.0,Hip-Hop,2023-07-22 12:25:08.104883,5
Song210,Britney Spears,330.0,Pop,2023-07-29 05:04:08.104883,3
Song153,Moby,133.0,Techno,2023-07-21 05:59:08.104883,5
Song82,Nas,336.0,Hip-Hop,2023-07-07 21:31:08.104883,5
Song282,OutKast,243.0,Hip-Hop,2023-07-23 18:03:08.104883,2
Song223,Jeff Mills,139.0,Techno,2023-07-07 07:54:08.104883,5
Song283,Moby,198.0,Techno,2023-07-07 20:04:08.104883,4
Song233,Jeff Mills,269.0,Techno,2023-07-14 08:43:08.104883,4
Song110,Madonna,138.0,Pop,2023-07-13 22:56:08.104883,5
Song150,Justin Timberlake,343.0,Pop,2023-07-13 07:56:08.104883,5
Song270,Britney Spears,208.0,Pop,2023-07-23 01:14:08.104883,5
Song12,OutKast,251.0,Hip-Hop,2023-07-09 11:10:08.114487,5
Song200,Justin Timberlake,313.0,Pop,2023-08-01 19:13:08.114487,3
Song92,Jay-Z,326.0,Hip-Hop,2023-07-05 19:24:08.114487,5
Song240,Christina Aguilera,294.0,Pop,2023-07-24 00:04:08.114487,3
Song153,Moby,133.0,Techno,2023-07-13 10:28:08.114487,5
Song140,Christina Aguilera,213.0,Pop,2023-08-01 05:17:08.114487,2
Song133,Daft Punk,233.0,Techno,2023-07-22 00:43:08.114487,5
Song242,Eminem,188.0,Hip-Hop,2023-07-16 17:39:08.114487,5
Song103,Jeff Mills,312.0,Techno,2023-07-08 22:46:08.114995,5
Song153,Moby,133.0,Techno,2023-07-16 20:40:08.114995,5
Song23,Richie Hawtin,166.0,Techno,2023-07-13 07:34:08.114995,3
