Song,Artist,Length,Genre,Datetime,Star_Rating
Song54,Arcade Fire,218.0,Indie,2023-07-19 13:09:08.114995,4
Song236,Stevie Ray Vaughan,283.0,Blues,2023-07-10 14:42:08.114995,2
Song126,Stevie Ray Vaughan,319.0,Blues,2023-07-06 08:02:08.114995,4
Song34,Arcade Fire,249.0,Indie,2023-07-18 15:13:08.114995,3
Song130,Katy Perry,166.0,Pop,2023-07-11 23:32:08.114995,3
Song70,Taylor Swift,233.0,Pop,2023-07-19 07:00:08.114995,2
Song270,Britney Spears,208.0,Pop,2023-07-07 06:06:08.114995,2
Song254,The Shins,142.0,Indie,2023-08-04 14:38:08.114995,3
Song274,Modest Mouse,311.0,Indie,2023-07-05 18:02:08.114995,5
Song76,Stevie Ray Vaughan,139.0,Blues,2023-07-22 01:02:08.114995,3
Song34,Arcade Fire,249.0,Indie,2023-07-17 12:27:08.114995,4
Song276,Muddy Waters,303.0,Blues,2023-07-20 19:56:08.114995,5
Song156,Stevie Ray Vaughan,228.0,Blues,2023-08-02 13:34:08.114995,4
Song6,Stevie Ray Vaughan,293.0,Blues,2023-07-24 02:19:08.114995,3
Song220,Britney Spears,198.0,Pop,2023-07-12 14:55:08.114995,5
Song194,The Shins,172.0,Indie,2023-08-03 00:47:08.116174,4
Song14,Arctic Monkeys,291.0,Indie,2023-07-28 22:32:08.116174,2
Song256,B.B. King,149.0,Blues,2023-07-12 04:30:08.116174,3
Song14,Arctic Monkeys,291.0,Indie,2023-07-14 10:42:08.116174,3
Song280,Britney Spears,324.0,Pop,2023-07-14 12:27:08.116174,5
Song74,The Shins,221.0,Indie,2023-07-25 17:32:08.116174,4
Song286,John Lee Hooker,154.0,Blues,2023-08-02 15:53:08.116174,3
Song164,Death Cab for Cutie,147.0,Indie,2023-07-06 16:51:08.116174,3
Song294,Modest Mouse,208.0,Indie,2023-07-20 10:07:08.116174,5
Song104,Modest Mouse,129.0,Indie,2023-07-29 00:25:08.116174,2
Song6,Stevie Ray Vaughan,293.0,Blues,2023-07-17 06:11:08.116174,4
Song60,Justin Timberlake,281.0,Pop,2023-07-22 02:50:08.116174,3
Song94,The Shins,204.0,Indie,2023-07-10 23:57:08.116174,4
Song36,Muddy Waters,315.0,Blues,2023-07-30 08:00:08.116174,5
Song114,Death Cab for Cutie,265.0,Indie,2023-07-16 07:48:08.116174,3
Song234,Vampire Weekend,154.0,Indie,2023-07-09 10:07:08.116174,5
Song50,Christina Aguilera,145.0,Pop,2023-08-03 11:57:08.116174,5
