Song,Artist,Length,Genre,Datetime,Star_Rating
Song236,Stevie Ray Vaughan,283.0,Blues,2023-08-02 19:15:08.116174,3
Song120,Taylor Swift,309.0,Pop,2023-07-29 18:50:08.116174,4
Song95,Miles Davis,351.0,Jazz,2023-07-26 20:26:08.116174,5
Song87,Dolly Parton,313.0,Country,2023-08-04 02:29:08.116174,5
Song120,Taylor Swift,309.0,Pop,2023-07-07 15:04:08.116174,5
Song35,Louis Armstrong,281.0,Jazz,2023-07-08 00:37:08.116174,5
Song137,Willie Nelson,335.0,Country,2023-07-24 05:34:08.116174,5
Song10,Christina Aguilera,134.0,Pop,2023-07-29 11:50:08.116174,5
Song297,Willie Nelson,344.0,Country,2023-07-31 13:02:08.116174,5
Song296,Stevie Ray Vaughan,315.0,Blues,2023-08-02 17:25:08.116174,3
Song50,Christina Aguilera,145.0,Pop,2023-07-07 13:02:08.116174,5
Song223,Jeff Mills,139.0,Techno,2023-07-06 20:08:08.116174,3
Song7,Garth Brooks,208.0,Country,2023-07-26 08:50:08.116174,5
Song57,Johnny Cash,346.0,Country,2023-07-24 22:18:08.116174,3
Song197,Garth Brooks,318.0,Country,2023-07-18 08:30:08.116174,5
Song67,Reba McEntire,290.0,Country,2023-07-24 09:00:08.116174,5
Song127,Dolly Parton,281.0,Country,2023-08-04 02:53:08.116174,4
Song0,Christina Aguilera,290.0,Pop,2023-07-19 22:57:08.116174,5
Song56,B.B. King,297.0,Blues,2023-07-26 02:21:08.116174,5
Song176,Muddy Waters,331.0,Blues,2023-07-13 19:28:08.116174,5
Song295,Billie Holiday,309.0,Jazz,2023-07-28 00:56:08.116174,5
Song105,Herbie Hancock,202.0,Jazz,2023-07-17 02:01:08.116174,5
Song50,Christina Aguilera,145.0,Pop,2023-07-18 02:45:08.116174,5
Song120,Taylor Swift,309.0,Pop,2023-07-07 01:09:08.116174,5
Song96,Muddy Waters,291.0,Blues,2023-07-15 20:04:08.116174,5
Song195,Billie Holiday,144.0,Jazz,2023-08-03 22:53:08.116174,5
Song26,B.B. King,236.0,Blues,2023-07-16 14:00:08.116174,5
Song295,Billie Holiday,309.0,Jazz,2023-07-31 10:22:08.116174,5
Song33,Carl Cox,134.0,Techno,2023-07-26 03:48:08.116174,3
Song45,Miles Davis,128.0,Jazz,2023-08-01 12:00:08.116174,2
Song66,Stevie Ray Vaughan,156.0,Blues,2023-07-19 19:00:08.116174,2
Song146,B.B. King,136.0,Blues,2023-07-13 21:08:08.116174,2
Song206,Robert Johnson,131.0,Blues,2023-07-28 06:22:08.116174,3
Song85,John Coltrane,190.0,Jazz,2023-07-23 00:42:08.116174,5
Song216,Stevie Ray Vaughan,147.0,Blues,2023-07-15 07:01:08.116174,3
Song296,Stevie Ray Vaughan,315.0,Blues,2023-07-27 00:40:08.116174,4
Song225,John Coltrane,212.0,Jazz,2023-07-18 16:17:08.116174,5
Song200,Justin Timberlake,313.0,Pop,2023-07-07 05:38:08.116174,5
Song200,Justin Timberlake,313.0,Pop,2023-07-08 20:29:08.116174,5
Song50,Christina Aguilera,145.0,Pop,2023-07-25 09:04:08.116174,5
Song276,Muddy Waters,303.0,Blues,2023-07-27 06:56:08.116174,2
Song187,Dolly Parton,177.0,Country,2023-07-21 15:30:08.116174,4
Song56,B.B. King,297.0,Blues,2023-07-15 06:22:08.116174,5
Song200,Justin Timberlake,313.0,Pop,2023-08-01 09:32:08.116174,5
Song87,Dolly Parton,313.0,Country,2023-07-10 20:54:08.116174,5
Song203,Jeff Mills,251.0,Techno,2023-07-10 23:31:08.116174,3
Song143,Jeff Mills,312.0,Techno,2023-07-30 07:56:08.116174,5
Song86,John Lee Hooker,164.0,Blues,2023-07-18 07:02:08.116174,3
Song77,Johnny Cash,191.0,Country,2023-07-05 18:16:08.116174,5
Song6,Stevie Ray Vaughan,293.0,Blues,2023-07-17 11:38:08.116174,3
Song60,Justin Timberlake,281.0,Pop,2023-07-04 16:04:08.116174,3
Song196,B.B. King,348.0,Blues,2023-07-31 09:07:08.116174,3
Song133,Daft Punk,233.0,Techno,2023-07-23 05:29:08.116174,2
Song145,Ella Fitzgerald,241.0,Jazz,2023-08-02 17:47:08.116174,3
Song175,John Coltrane,324.0,Jazz,2023-07-28 19:39:08.116174,5
