Song,Artist,Length,Genre,Datetime,Star_Rating
Song17,Garth Brooks,135.0,Country,2023-07-12 03:22:08.116174,5
Song207,Dolly Parton,187.0,Country,2023-07-17 09:40:08.116174,3
Song287,Willie Nelson,136.0,Country,2023-07-12 23:48:08.116174,2
Song232,Eminem,162.0,Hip-Hop,2023-07-27 10:30:08.116174,4
Song87,Dolly Parton,313.0,Country,2023-07-20 09:11:08.116174,4
Song57,Johnny Cash,346.0,Country,2023-07-21 22:08:08.116174,5
Song157,Johnny Cash,171.0,Country,2023-07-16 01:59:08.116174,5
Song227,George Strait,258.0,Country,2023-07-10 10:39:08.116174,5
Song67,Reba McEntire,290.0,Country,2023-07-04 21:14:08.116174,3
Song212,Jay-Z,327.0,Hip-Hop,2023-08-03 06:54:08.116174,2
Song282,OutKast,243.0,Hip-Hop,2023-07-14 22:12:08.116174,5
Song242,Eminem,188.0,Hip-Hop,2023-07-13 23:51:08.116174,2
Song22,Lil Wayne,333.0,Hip-Hop,2023-07-31 14:49:08.116174,4
Song27,Willie Nelson,131.0,Country,2023-07-18 06:40:08.116174,5
Song17,Garth Brooks,135.0,Country,2023-07-11 20:47:08.116174,5
Song2,OutKast,282.0,Hip-Hop,2023-07-16 03:20:08.116174,5
Song267,Dolly Parton,148.0,Country,2023-07-20 01:52:08.116174,2
Song2,OutKast,282.0,Hip-Hop,2023-07-13 21:08:08.116174,5
Song182,Lil Wayne,148.0,Hip-Hop,2023-07-04 18:05:08.116174,4
Song87,Dolly Parton,313.0,Country,2023-07-31 23:08:08.116174,5
Song272,Jay-Z,301.0,Hip-Hop,2023-07-29 17:28:08.116174,3
Song97,Garth Brooks,259.0,Country,2023-07-11 04:58:08.116174,3
Song207,Dolly Parton,187.0,Country,2023-07-08 14:01:08.116174,4
Song42,Nas,225.0,Hip-Hop,2023-07-29 02:32:08.116174,2
Song192,Kanye West,152.0,Hip-Hop,2023-07-28 06:05:08.116174,3
Song37,Dolly Parton,190.0,Country,2023-07-13 02:45:08.116174,3
Song247,George Strait,294.0,Country,2023-07-12 22:25:08.116174,3
Song132,Nas,258.0,Hip-Hop,2023-07-23 07:37:08.116174,4
Song7,Garth Brooks,208.0,Country,2023-07-25 19:15:08.116174,5
Song202,Kanye West,194.0,Hip-Hop,2023-07-14 05:04:08.116174,5
Song122,Kanye West,213.0,Hip-Hop,2023-08-01 08:38:08.116174,3
Song42,Nas,225.0,Hip-Hop,2023-07-15 16:27:08.116174,3
Song242,Eminem,188.0,Hip-Hop,2023-07-28 07:37:08.116174,3
Song12,OutKast,251.0,Hip-Hop,2023-07-22 13:28:08.116174,4
Song137,Willie Nelson,335.0,Country,2023-07-17 19:32:08.116174,2
Song237,Dolly Parton,126.0,Country,2023-07-05 03:18:08.116174,5
Song67,Reba McEntire,290.0,Country,2023-07-25 08:44:08.116174,4
Song22,Lil Wayne,333.0,Hip-Hop,2023-07-23 18:59:08.116174,5
Song67,Reba McEntire,290.0,Country,2023-07-06 05:33:08.116174,5
Song202,Kanye West,194.0,Hip-Hop,2023-07-09 01:29:08.116174,5
Song292,OutKast,140.0,Hip-Hop,2023-07-25 19:39:08.116174,4
Song272,Jay-Z,301.0,Hip-Hop,2023-07-11 05:38:08.116174,4
Song137,Willie Nelson,335.0,Country,2023-08-03 07:20:08.116174,3
Song292,OutKast,140.0,Hip-Hop,2023-07-21 15:01:08.116174,5
Song22,Lil Wayne,333.0,Hip-Hop,2023-07-24 04:23:08.116174,5
Song62,Nas,283.0,Hip-Hop,2023-07-17 20:05:08.116174,3
Song242,Eminem,188.0,Hip-Hop,2023-07-14 16:16:08.116174,4
Song137,Willie Nelson,335.0,Country,2023-07-31 14:20:08.116174,4
Song197,Garth Brooks,318.0,Country,2023-07-21 11:52:08.116174,4
Song287,Willie Nelson,136.0,Country,2023-07-19 11:56:08.116174,3
Song242,Eminem,188.0,Hip-Hop,2023-07-28 12:04:08.116174,5
Song142,Eminem,329.0,Hip-Hop,2023-08-04 07:55:08.116174,5
Song132,Nas,258.0,Hip-Hop,2023-07-19 19:29:08.116174,5
Song217,George Strait,264.0,Country,2023-07-31 08:50:08.116174,5
Song72,Eminem,124.0,Hip-Hop,2023-07-12 02:14:08.116174,3
Song137,Willie Nelson,335.0,Country,2023-08-03 13:16:08.116174,5
Song12,OutKast,251.0,Hip-Hop,2023-08-02 09:34:08.116174,5
Song182,Lil Wayne,148.0,Hip-Hop,2023-07-18 03:26:08.116174,5
Song112,Kanye West,269.0,Hip-Hop,2023-07-26 02:20:08.116174,5
Song67,Reba McEntire,290.0,Country,2023-07-07 17:46:08.116174,5
Song217,George Strait,264.0,Country,2023-07-30 20:06:08.116174,5
Song72,Eminem,124.0,Hip-Hop,2023-07-18 14:09:08.116174,4
Song177,George Strait,208.0,Country,2023-07-26 16:07:08.116174,3
Song72,Eminem,124.0,Hip-Hop,2023-07-08 08:13:08.116174,5
Song147,Willie Nelson,320.0,Country,2023-08-01 22:58:08.116174,2
