Song,Artist,Length,Genre,Datetime,Star_Rating
Song179,Nick Drake,259.0,Folk,2023-07-18 04:57:08.124184,4
Song189,Nick Drake,195.0,Folk,2023-07-23 05:33:08.124184,5
Song109,Leonard Cohen,262.0,Folk,2023-07-20 10:47:08.124184,2
Song9,Simon & Garfunkel,354.0,Folk,2023-07-12 11:17:08.124184,5
Song241,Foo Fighters,249.0,Rock,2023-07-07 00:42:08.124184,4
Song176,Muddy Waters,331.0,Blues,2023-07-13 17:01:08.124184,5
Song101,U2,356.0,Rock,2023-07-30 01:39:08.124184,2
Song216,Stevie Ray Vaughan,147.0,Blues,2023-07-19 21:12:08.124184,2
Song269,Nick Drake,297.0,Folk,2023-07-25 15:03:08.124184,5
Song236,Stevie Ray Vaughan,283.0,Blues,2023-07-19 13:35:08.124184,4
Song226,John Lee Hooker,288.0,Blues,2023-07-20 14:15:08.124184,3
Song71,Foo Fighters,168.0,Rock,2023-07-12 19:56:08.125192,5
Song136,Eric Clapton,128.0,Blues,2023-08-04 15:27:08.125192,5
Song236,Stevie Ray Vaughan,283.0,Blues,2023-07-17 00:04:08.125192,5
Song56,B.B. King,297.0,Blues,2023-07-05 01:20:08.125192,5
Song66,Stevie Ray Vaughan,156.0,Blues,2023-07-17 07:32:08.125192,3
Song269,Nick Drake,297.0,Folk,2023-07-28 20:50:08.125192,5
Song271,The Rolling Stones,318.0,Rock,2023-07-07 01:02:08.125192,4
Song286,John Lee Hooker,154.0,Blues,2023-07-17 06:34:08.125192,4
Song39,Bob Dylan,151.0,Folk,2023-07-16 16:54:08.125192,2
Song211,Foo Fighters,244.0,Rock,2023-07-31 23:33:08.125192,2
Song129,Bob Dylan,125.0,Folk,2023-07-26 14:09:08.125192,4
Song216,Stevie Ray Vaughan,147.0,Blues,2023-07-18 21:08:08.125192,3
