Song,Artist,Length,Genre,Datetime,Star_Rating
Song274,Modest Mouse,311.0,Indie,2023-07-22 18:00:08.125192,5
Song281,The Rolling Stones,315.0,Rock,2023-07-20 16:47:08.125192,2
Song251,The Rolling Stones,164.0,Rock,2023-07-06 23:03:08.125192,3
Song112,Kanye West,269.0,Hip-Hop,2023-07-07 23:57:08.125192,3
Song251,The Rolling Stones,164.0,Rock,2023-07-20 05:01:08.125192,4
Song202,Kanye West,194.0,Hip-Hop,2023-07-28 03:13:08.125192,2
Song211,Foo Fighters,244.0,Rock,2023-07-27 22:30:08.125192,2
Song171,Green Day,173.0,Rock,2023-07-31 16:21:08.125192,5
Song132,Nas,258.0,Hip-Hop,2023-07-04 21:46:08.125192,3
Song94,The Shins,204.0,Indie,2023-07-06 04:30:08.125192,5
Song202,Kanye West,194.0,Hip-Hop,2023-08-02 22:21:08.126178,3
Song62,Nas,283.0,Hip-Hop,2023-07-27 05:06:08.126178,4
Song74,The Shins,221.0,Indie,2023-07-30 17:36:08.126178,5
Song112,Kanye West,269.0,Hip-Hop,2023-07-22 22:28:08.126178,4
Song1,The Rolling Stones,233.0,Rock,2023-07-21 15:09:08.126178,3
Song114,Death Cab for Cutie,265.0,Indie,2023-07-22 12:59:08.126178,4
Song264,Vampire Weekend,130.0,Indie,2023-07-13 19:43:08.126178,5
Song64,Vampire Weekend,215.0,Indie,2023-07-25 05:47:08.126178,5
Song114,Death Cab for Cutie,265.0,Indie,2023-07-05 10:11:08.126178,5
Song112,Kanye West,269.0,Hip-Hop,2023-07-11 16:01:08.126178,5
Song104,Modest Mouse,129.0,Indie,2023-07-25 08:00:08.126178,2
Song82,Nas,336.0,Hip-Hop,2023-07-20 18:43:08.126178,5
Song52,Eminem,271.0,Hip-Hop,2023-07-22 16:21:08.126178,2
Song112,Kanye West,269.0,Hip-Hop,2023-07-12 18:28:08.126178,5
Song84,The Shins,347.0,Indie,2023-08-02 08:37:08.126178,4
Song251,The Rolling Stones,164.0,Rock,2023-07-20 23:29:08.126178,5
Song152,Nas,290.0,Hip-Hop,2023-07-18 15:41:08.126178,5
Song254,The Shins,142.0,Indie,2023-07-23 04:46:08.126178,4
Song232,Eminem,162.0,Hip-Hop,2023-07-25 13:00:08.126178,5
Song161,Foo Fighters,168.0,Rock,2023-07-23 15:52:08.126178,5
Song124,Vampire Weekend,135.0,Indie,2023-07-25 03:01:08.126178,2
Song92,Jay-Z,326.0,Hip-Hop,2023-07-15 08:42:08.126178,3
Song21,The Rolling Stones,320.0,Rock,2023-07-15 02:04:08.126178,4
Song132,Nas,258.0,Hip-Hop,2023-07-26 01:10:08.126178,4
Song71,Foo Fighters,168.0,Rock,2023-07-08 07:46:08.126178,2
Song51,U2,249.0,Rock,2023-07-25 02:31:08.126178,4
Song222,Lil Wayne,123.0,Hip-Hop,2023-07-27 18:40:08.126178,5
Song251,The Rolling Stones,164.0,Rock,2023-07-09 11:07:08.126178,5
Song2,OutKast,282.0,Hip-Hop,2023-07-27 20:07:08.126178,5
Song182,Lil Wayne,148.0,Hip-Hop,2023-07-31 02:47:08.126178,5
Song24,Death Cab for Cutie,259.0,Indie,2023-07-11 07:09:08.126178,4
Song274,Modest Mouse,311.0,Indie,2023-07-29 10:53:08.126178,5
Song2,OutKast,282.0,Hip-Hop,2023-07-07 16:13:08.126178,5
Song64,Vampire Weekend,215.0,Indie,2023-07-25 14:24:08.126178,5
Song261,Coldplay,249.0,Rock,2023-07-12 06:04:08.126178,4
Song32,Lil Wayne,244.0,Hip-Hop,2023-07-05 05:23:08.126178,5
Song182,Lil Wayne,148.0,Hip-Hop,2023-07-13 23:13:08.126178,5
Song174,Vampire Weekend,339.0,Indie,2023-07-18 11:46:08.126178,5
Song264,Vampire Weekend,130.0,Indie,2023-07-06 12:50:08.126178,5
Song32,Lil Wayne,244.0,Hip-Hop,2023-07-27 00:13:08.126178,5
Song272,Jay-Z,301.0,Hip-Hop,2023-07-11 15:02:08.126178,2
Song54,Arcade Fire,218.0,Indie,2023-07-20 13:16:08.126178,2
Song112,Kanye West,269.0,Hip-Hop,2023-07-06 02:01:08.126178,5
Song134,Arctic Monkeys,133.0,Indie,2023-07-12 09:35:08.126178,2
Song234,Vampire Weekend,154.0,Indie,2023-07-04 16:00:08.126178,4
Song74,The Shins,221.0,Indie,2023-07-31 23:36:08.126178,5
Song131,Foo Fighters,242.0,Rock,2023-07-17 20:56:08.126178,3
Song72,Eminem,124.0,Hip-Hop,2023-08-03 21:00:08.126178,3
Song274,Modest Mouse,311.0,Indie,2023-07-07 17:24:08.126178,5
Song4,Arcade Fire,150.0,Indie,2023-07-15 00:04:08.126178,5
Song71,Foo Fighters,168.0,Rock,2023-07-05 08:36:08.126178,3
Song162,Nas,306.0,Hip-Hop,2023-07-22 12:02:08.126178,3
Song182,Lil Wayne,148.0,Hip-Hop,2023-07-20 23:51:08.126178,5
Song22,Lil Wayne,333.0,Hip-Hop,2023-07-07 18:59:08.126178,3
Song144,Modest Mouse,202.0,Indie,2023-07-16 06:05:08.126178,5
Song114,Death Cab for Cutie,265.0,Indie,2023-07-15 07:54:08.126178,5
Song61,The Rolling Stones,299.0,Rock,2023-07-07 17:55:08.126178,5
Song102,Lil Wayne,186.0,Hip-Hop,2023-08-02 11:43:08.126178,2
Song184,Arcade Fire,222.0,Indie,2023-07-30 17:46:08.126178,3
