Song,Artist,Length,Genre,Datetime,Star_Rating
Song172,Lil Wayne,212.0,Hip-Hop,2023-07-28 00:40:08.126178,4
Song92,Jay-Z,326.0,Hip-Hop,2023-07-19 04:44:08.126178,4
Song141,Coldplay,236.0,Rock,2023-08-02 06:34:08.126178,5
Song12,OutKast,251.0,Hip-Hop,2023-07-12 01:39:08.126178,5
Song112,Kanye West,269.0,Hip-Hop,2023-07-30 23:26:08.126178,5
Song42,Nas,225.0,Hip-Hop,2023-07-25 21:16:08.126178,2
Song132,Nas,258.0,Hip-Hop,2023-08-01 19:22:08.126178,5
Song61,The Rolling Stones,299.0,Rock,2023-07-07 14:30:08.126178,4
Song271,The Rolling Stones,318.0,Rock,2023-07-16 11:54:08.126178,4
Song82,Nas,336.0,Hip-Hop,2023-07-31 07:54:08.126178,2
Song1,The Rolling Stones,233.0,Rock,2023-07-07 20:13:08.126178,2
Song242,Eminem,188.0,Hip-Hop,2023-07-17 08:18:08.126178,4
Song52,Eminem,271.0,Hip-Hop,2023-07-12 01:15:08.126178,3
Song62,Nas,283.0,Hip-Hop,2023-07-14 18:09:08.126178,4
Song122,Kanye West,213.0,Hip-Hop,2023-07-15 14:01:08.126178,5
Song92,Jay-Z,326.0,Hip-Hop,2023-07-22 09:27:08.126178,5
Song112,Kanye West,269.0,Hip-Hop,2023-07-10 00:41:08.126178,5
Song151,The Rolling Stones,194.0,Rock,2023-07-16 12:25:08.126178,5
Song262,Jay-Z,239.0,Hip-Hop,2023-07-28 18:44:08.126178,2
Song251,The Rolling Stones,164.0,Rock,2023-07-26 01:35:08.126178,5
Song151,The Rolling Stones,194.0,Rock,2023-08-01 17:06:08.126178,5
Song282,OutKast,243.0,Hip-Hop,2023-07-25 15:12:08.126178,3
Song141,Coldplay,236.0,Rock,2023-07-27 11:21:08.126178,5
Song182,Lil Wayne,148.0,Hip-Hop,2023-08-04 04:44:08.126178,3
Song282,OutKast,243.0,Hip-Hop,2023-07-26 14:01:08.126178,4
Song191,Green Day,236.0,Rock,2023-08-03 05:31:08.126178,2
Song201,Linkin Park,159.0,Rock,2023-08-01 01:37:08.126178,3
Song31,Coldplay,155.0,Rock,2023-07-23 11:40:08.126178,5
Song222,Lil Wayne,123.0,Hip-Hop,2023-07-25 09:07:08.126178,4
Song42,Nas,225.0,Hip-Hop,2023-07-11 02:56:08.126178,3
Song71,Foo Fighters,168.0,Rock,2023-07-10 15:05:08.126178,4
Song181,The Rolling Stones,299.0,Rock,2023-07-07 09:50:08.126178,4
Song101,U2,356.0,Rock,2023-07-20 09:18:08.126178,4
Song182,Lil Wayne,148.0,Hip-Hop,2023-07-27 19:28:08.126178,4
Song71,Foo Fighters,168.0,Rock,2023-07-09 09:57:08.126178,5
Song282,OutKast,243.0,Hip-Hop,2023-07-26 19:00:08.126178,5
Song91,The Rolling Stones,282.0,Rock,2023-07-12 06:12:08.126178,3
Song2,OutKast,282.0,Hip-Hop,2023-07-08 19:29:08.126178,2
Song212,Jay-Z,327.0,Hip-Hop,2023-07-30 17:36:08.126178,5
Song161,Foo Fighters,168.0,Rock,2023-07-14 11:25:08.126178,5
Song162,Nas,306.0,Hip-Hop,2023-08-02 01:53:08.126178,5
Song122,Kanye West,213.0,Hip-Hop,2023-08-01 17:37:08.126178,5
Song271,The Rolling Stones,318.0,Rock,2023-07-11 18:39:08.126178,5
Song91,The Rolling Stones,282.0,Rock,2023-07-29 09:14:08.126178,4
Song261,Coldplay,249.0,Rock,2023-07-26 10:43:08.126178,5
