Song,Artist,Length,Genre,Datetime,Star_Rating
Song112,Kanye West,269.0,Hip-Hop,2023-07-05 00:47:08.126178,3
Song281,The Rolling Stones,315.0,Rock,2023-07-25 17:02:08.126178,3
Song70,Taylor Swift,233.0,Pop,2023-07-28 17:16:08.126178,5
Song196,B.B. King,348.0,Blues,2023-07-27 02:04:08.126178,5
Song286,John Lee Hooker,154.0,Blues,2023-07-16 13:52:08.126178,4
Song156,Stevie Ray Vaughan,228.0,Blues,2023-07-09 07:22:08.126178,3
Song206,Robert Johnson,131.0,Blues,2023-07-18 02:09:08.126178,5
Song196,B.B. King,348.0,Blues,2023-08-02 03:34:08.126178,5
Song211,Foo Fighters,244.0,Rock,2023-07-20 10:41:08.126178,2
Song2,OutKast,282.0,Hip-Hop,2023-07-18 09:55:08.126178,3
Song152,Nas,290.0,Hip-Hop,2023-07-28 05:39:08.126178,5
Song216,Stevie Ray Vaughan,147.0,Blues,2023-07-17 10:13:08.126178,5
Song140,Christina Aguilera,213.0,Pop,2023-07-08 03:32:08.126178,3
Song281,The Rolling Stones,315.0,Rock,2023-07-14 17:55:08.126178,4
Song36,Muddy Waters,315.0,Blues,2023-08-03 16:11:08.126178,5
Song251,The Rolling Stones,164.0,Rock,2023-07-06 20:05:08.126178,2
Song200,Justin Timberlake,313.0,Pop,2023-07-29 23:20:08.126178,3
Song64,Vampire Weekend,215.0,Indie,2023-07-26 14:37:08.126178,4
Song31,Coldplay,155.0,Rock,2023-08-01 16:52:08.126178,5
Song172,Lil Wayne,212.0,Hip-Hop,2023-07-09 15:49:08.126178,5
Song144,Modest Mouse,202.0,Indie,2023-07-14 14:32:08.126178,5
Song81,Foo Fighters,218.0,Rock,2023-07-27 02:13:08.126178,5
Song246,B.B. King,193.0,Blues,2023-07-13 11:47:08.126178,2
Song264,Vampire Weekend,130.0,Indie,2023-07-12 20:44:08.126178,5
Song220,Britney Spears,198.0,Pop,2023-08-04 05:09:08.126178,2
Song90,Madonna,300.0,Pop,2023-07-13 16:18:08.126178,3
Song142,Eminem,329.0,Hip-Hop,2023-07-11 23:17:08.126178,3
Song166,Stevie Ray Vaughan,189.0,Blues,2023-07-21 13:28:08.126178,5
Song162,Nas,306.0,Hip-Hop,2023-07-07 15:24:08.126178,3
Song214,The Shins,260.0,Indie,2023-07-04 22:08:08.126178,3
Song274,Modest Mouse,311.0,Indie,2023-07-12 06:50:08.126178,3
Song201,Linkin Park,159.0,Rock,2023-07-19 19:07:08.126178,4
Song64,Vampire Weekend,215.0,Indie,2023-07-15 03:36:08.126178,5
Song0,Christina Aguilera,290.0,Pop,2023-07-21 13:29:08.126178,4
Song150,Justin Timberlake,343.0,Pop,2023-07-22 10:21:08.126178,3
Song42,Nas,225.0,Hip-Hop,2023-08-04 01:46:08.126178,3
Song234,Vampire Weekend,154.0,Indie,2023-07-31 18:16:08.126178,5
Song46,Muddy Waters,263.0,Blues,2023-07-21 11:49:08.126178,5
Song31,Coldplay,155.0,Rock,2023-07-19 12:06:08.126178,5
Song211,Foo Fighters,244.0,Rock,2023-07-24 06:30:08.126178,3
Song102,Lil Wayne,186.0,Hip-Hop,2023-07-08 22:19:08.126178,4
Song171,Green Day,173.0,Rock,2023-08-01 15:11:08.126178,3
Song102,Lil Wayne,186.0,Hip-Hop,2023-07-13 09:14:08.126178,5
Song244,Arcade Fire,212.0,Indie,2023-08-01 01:30:08.126178,4
Song34,Arcade Fire,249.0,Indie,2023-07-22 11:39:08.126178,5
Song244,Arcade Fire,212.0,Indie,2023-08-03 01:30:08.126178,5
Song70,Taylor Swift,233.0,Pop,2023-07-25 03:13:08.126178,5
Song296,Stevie Ray Vaughan,315.0,Blues,2023-07-06 11:51:08.126178,5
Song116,Stevie Ray Vaughan,234.0,Blues,2023-07-31 23:22:08.126178,3
Song216,Stevie Ray Vaughan,147.0,Blues,2023-07-22 14:58:08.126178,5
Song84,The Shins,347.0,Indie,2023-07-17 20:33:08.126178,4
Song116,Stevie Ray Vaughan,234.0,Blues,2023-07-27 01:01:08.126178,4
Song144,Modest Mouse,202.0,Indie,2023-08-01 17:51:08.126178,5
Song70,Taylor Swift,233.0,Pop,2023-07-11 10:45:08.126178,5
Song220,Britney Spears,198.0,Pop,2023-07-18 05:56:08.126178,3
Song60,Justin Timberlake,281.0,Pop,2023-07-26 06:23:08.126178,5
Song200,Justin Timberlake,313.0,Pop,2023-07-09 21:14:08.126178,4
Song272,Jay-Z,301.0,Hip-Hop,2023-07-27 21:37:08.126178,3
Song224,Arctic Monkeys,270.0,Indie,2023-08-04 11:04:08.126178,5
