Song,Artist,Length,Genre,Datetime,Star_Rating
Song229,Bob Dylan,226.0,Folk,2023-07-30 08:57:08.134214,5
Song85,John Coltrane,190.0,Jazz,2023-07-22 13:42:08.134214,3
Song297,Willie Nelson,344.0,Country,2023-07-12 11:51:08.134214,5
Song295,Billie Holiday,309.0,Jazz,2023-07-12 23:28:08.134214,3
Song7,Garth Brooks,208.0,Country,2023-07-20 06:48:08.134214,4
Song238,Kraftwerk,358.0,Electronic,2023-07-14 03:28:08.134214,4
Song155,Billie Holiday,328.0,Jazz,2023-07-07 11:11:08.134214,4
Song145,Ella Fitzgerald,241.0,Jazz,2023-07-16 02:13:08.134214,5
Song127,Dolly Parton,281.0,Country,2023-08-03 14:12:08.134214,5
Song215,Ella Fitzgerald,350.0,Jazz,2023-07-12 10:58:08.134214,3
Song218,Calvin Harris,281.0,Electronic,2023-07-14 02:36:08.134214,3
Song297,Willie Nelson,344.0,Country,2023-08-02 22:16:08.134214,5
Song209,Simon & Garfunkel,258.0,Folk,2023-08-03 18:54:08.134214,2
Song177,George Strait,208.0,Country,2023-07-17 05:44:08.134214,5
Song198,Zedd,343.0,Electronic,2023-07-12 04:49:08.134214,5
Song235,Louis Armstrong,280.0,Jazz,2023-07-13 18:58:08.134214,2
Song247,George Strait,294.0,Country,2023-07-23 03:25:08.134214,5
Song38,Kraftwerk,295.0,Electronic,2023-08-03 22:09:08.134214,5
Song17,Garth Brooks,135.0,Country,2023-07-28 23:23:08.134214,3
Song249,Simon & Garfunkel,268.0,Folk,2023-07-05 00:50:08.134214,3
Song47,Dolly Parton,137.0,Country,2023-07-15 04:24:08.134214,5
Song39,Bob Dylan,151.0,Folk,2023-07-07 17:26:08.134214,3
Song169,Joan Baez,199.0,Folk,2023-07-21 21:30:08.135252,5
Song125,John Coltrane,148.0,Jazz,2023-07-20 17:10:08.135252,2
Song59,Simon & Garfunkel,182.0,Folk,2023-07-30 20:31:08.135252,5
Song178,Aphex Twin,266.0,Electronic,2023-07-22 04:35:08.135252,5
Song67,Reba McEntire,290.0,Country,2023-07-22 03:47:08.135252,4
Song39,Bob Dylan,151.0,Folk,2023-07-16 19:21:08.135252,4
Song248,Aphex Twin,298.0,Electronic,2023-07-23 14:48:08.135252,5
Song97,Garth Brooks,259.0,Country,2023-07-15 02:00:08.135252,5
Song217,George Strait,264.0,Country,2023-08-01 14:12:08.135252,5
Song218,Calvin Harris,281.0,Electronic,2023-07-24 14:02:08.135252,4
Song28,Deadmau5,183.0,Electronic,2023-07-09 10:50:08.135252,5
Song18,Calvin Harris,238.0,Electronic,2023-08-03 17:18:08.135252,2
Song89,Joni Mitchell,126.0,Folk,2023-07-24 01:45:08.135252,5
Song68,Skrillex,349.0,Electronic,2023-07-29 09:52:08.135252,5
