Song,Artist,Length,Genre,Datetime,Star_Rating
Song151,The Rolling Stones,194.0,Rock,2023-07-06 14:50:08.135252,5
Song271,The Rolling Stones,318.0,Rock,2023-07-11 01:13:08.135252,2
Song211,Foo Fighters,244.0,Rock,2023-07-17 16:56:08.135252,5
Song271,The Rolling Stones,318.0,Rock,2023-07-11 06:03:08.135252,3
Song91,The Rolling Stones,282.0,Rock,2023-07-10 19:25:08.135252,4
Song211,Foo Fighters,244.0,Rock,2023-07-15 15:00:08.135252,5
Song91,The Rolling Stones,282.0,Rock,2023-07-23 12:19:08.135252,5
Song241,Foo Fighters,249.0,Rock,2023-07-14 11:48:08.135252,5
Song31,Coldplay,155.0,Rock,2023-07-06 22:23:08.135252,2
Song291,Foo Fighters,296.0,Rock,2023-07-22 15:42:08.135252,5
Song71,Foo Fighters,168.0,Rock,2023-07-18 06:54:08.135252,4
Song231,U2,150.0,Rock,2023-07-10 08:15:08.135252,5
Song231,U2,150.0,Rock,2023-07-21 17:03:08.135252,5
Song21,The Rolling Stones,320.0,Rock,2023-07-26 18:35:08.135252,4
Song231,U2,150.0,Rock,2023-07-05 17:56:08.135252,5
Song91,The Rolling Stones,282.0,Rock,2023-08-04 07:25:08.135252,5
Song91,The Rolling Stones,282.0,Rock,2023-08-02 20:28:08.135252,5
Song191,Green Day,236.0,Rock,2023-07-12 15:59:08.135252,5
Song11,Coldplay,332.0,Rock,2023-07-16 09:55:08.135252,4
Song31,Coldplay,155.0,Rock,2023-07-28 07:12:08.135252,3
Song141,Coldplay,236.0,Rock,2023-07-06 01:13:08.135252,3
Song41,Foo Fighters,161.0,Rock,2023-07-21 15:00:08.135252,3
Song121,Foo Fighters,342.0,Rock,2023-07-22 18:27:08.135252,3
Song31,Coldplay,155.0,Rock,2023-07-13 06:48:08.135252,4
Song291,Foo Fighters,296.0,Rock,2023-07-13 22:18:08.135252,5
Song201,Linkin Park,159.0,Rock,2023-07-11 15:16:08.135252,4
Song61,The Rolling Stones,299.0,Rock,2023-07-15 15:49:08.135252,5
Song181,The Rolling Stones,299.0,Rock,2023-08-02 02:02:08.135252,2
Song241,Foo Fighters,249.0,Rock,2023-07-12 00:45:08.135252,5
Song161,Foo Fighters,168.0,Rock,2023-07-10 02:03:08.135252,5
Song81,Foo Fighters,218.0,Rock,2023-07-21 19:03:08.135252,2
Song11,Coldplay,332.0,Rock,2023-08-02 21:54:08.135252,5
Song141,Coldplay,236.0,Rock,2023-07-30 01:29:08.135252,4
Song31,Coldplay,155.0,Rock,2023-07-15 13:55:08.135252,5
Song191,Green Day,236.0,Rock,2023-07-20 20:35:08.135252,5
Song21,The Rolling Stones,320.0,Rock,2023-07-27 08:46:08.135252,5
Song231,U2,150.0,Rock,2023-07-20 05:17:08.135252,5
Song221,U2,190.0,Rock,2023-07-30 16:42:08.135252,4
Song121,Foo Fighters,342.0,Rock,2023-07-08 12:55:08.135252,4
Song191,Green Day,236.0,Rock,2023-07-05 04:30:08.135252,5
Song201,Linkin Park,159.0,Rock,2023-07-25 06:38:08.135252,5
Song251,The Rolling Stones,164.0,Rock,2023-07-08 15:53:08.135252,5
Song21,The Rolling Stones,320.0,Rock,2023-08-04 07:47:08.135252,5
Song111,U2,185.0,Rock,2023-08-04 00:18:08.135252,3
Song271,The Rolling Stones,318.0,Rock,2023-07-26 15:49:08.135252,4
Song31,Coldplay,155.0,Rock,2023-07-22 23:38:08.135252,5
Song211,Foo Fighters,244.0,Rock,2023-07-18 22:41:08.135252,5
Song111,U2,185.0,Rock,2023-07-09 00:49:08.135252,4
Song151,The Rolling Stones,194.0,Rock,2023-07-06 18:09:08.135252,5
Song41,Foo Fighters,161.0,Rock,2023-08-01 00:41:08.135252,4
Song221,U2,190.0,Rock,2023-07-16 23:20:08.135252,5
Song221,U2,190.0,Rock,2023-07-31 14:06:08.135252,5
Song11,Coldplay,332.0,Rock,2023-08-02 22:19:08.135252,5
Song161,Foo Fighters,168.0,Rock,2023-07-27 19:06:08.135252,5
Song61,The Rolling Stones,299.0,Rock,2023-07-08 20:03:08.135252,5
Song1,The Rolling Stones,233.0,Rock,2023-07-31 11:15:08.135252,4
Song81,Foo Fighters,218.0,Rock,2023-07-25 08:26:08.135252,3
Song171,Green Day,173.0,Rock,2023-07-16 18:26:08.135252,3
Song251,The Rolling Stones,164.0,Rock,2023-07-15 06:31:08.135252,5
Song111,U2,185.0,Rock,2023-07-23 17:09:08.135252,5
Song101,U2,356.0,Rock,2023-07-22 16:35:08.135252,5
Song261,Coldplay,249.0,Rock,2023-07-07 08:49:08.135252,2
Song281,The Rolling Stones,315.0,Rock,2023-07-31 17:58:08.135252,2
Song31,Coldplay,155.0,Rock,2023-08-02 15:54:08.135252,5
Song161,Foo Fighters,168.0,Rock,2023-07-08 05:31:08.135252,5
Song181,The Rolling Stones,299.0,Rock,2023-07-07 09:15:08.135252,3
Song111,U2,185.0,Rock,2023-07-23 22:48:08.135252,5
Song91,The Rolling Stones,282.0,Rock,2023-07-09 03:14:08.135252,5
Song161,Foo Fighters,168.0,Rock,2023-07-24 14:18:08.135252,5
Song121,Foo Fighters,342.0,Rock,2023-07-06 02:52:08.135252,5
Song131,Foo Fighters,242.0,Rock,2023-07-16 16:24:08.135252,2
