Song,Artist,Length,Genre,Datetime,Star_Rating
Song210,Britney Spears,330.0,Pop,2023-07-27 01:37:08.135252,5
Song130,Katy Perry,166.0,Pop,2023-08-03 00:55:08.135252,5
Song260,Britney Spears,351.0,Pop,2023-08-02 16:32:08.135252,3
Song80,Madonna,266.0,Pop,2023-07-11 06:35:08.135252,2
Song220,Britney Spears,198.0,Pop,2023-08-03 09:00:08.135252,5
Song270,Britney Spears,208.0,Pop,2023-07-08 22:16:08.135252,5
Song0,Christina Aguilera,290.0,Pop,2023-07-14 13:42:08.135252,4
Song210,Britney Spears,330.0,Pop,2023-07-30 10:34:08.135252,5
Song150,Justin Timberlake,343.0,Pop,2023-07-18 13:52:08.135252,2
Song80,Madonna,266.0,Pop,2023-07-26 20:31:08.135252,3
Song170,Madonna,134.0,Pop,2023-07-14 12:17:08.135252,5
Song80,Madonna,266.0,Pop,2023-07-26 15:03:08.135252,4
Song50,Christina Aguilera,145.0,Pop,2023-07-27 09:33:08.135252,4
Song250,Britney Spears,269.0,Pop,2023-07-21 03:25:08.135252,2
Song130,Katy Perry,166.0,Pop,2023-07-31 16:37:08.135252,5
Song20,Justin Timberlake,203.0,Pop,2023-07-13 12:16:08.135252,3
Song170,Madonna,134.0,Pop,2023-07-20 07:08:08.135252,5
Song170,Madonna,134.0,Pop,2023-08-02 10:53:08.135252,5
Song90,Madonna,300.0,Pop,2023-07-22 13:33:08.135252,2
Song180,Katy Perry,143.0,Pop,2023-07-17 11:18:08.135252,2
Song50,Christina Aguilera,145.0,Pop,2023-07-07 00:51:08.135252,5
Song100,Britney Spears,132.0,Pop,2023-07-21 05:17:08.135252,5
Song180,Katy Perry,143.0,Pop,2023-07-18 21:44:08.135252,3
Song110,Madonna,138.0,Pop,2023-07-12 04:43:08.135252,2
Song120,Taylor Swift,309.0,Pop,2023-08-02 06:49:08.135252,5
Song220,Britney Spears,198.0,Pop,2023-07-13 14:54:08.135252,5
Song110,Madonna,138.0,Pop,2023-08-02 07:34:08.135252,3
Song60,Justin Timberlake,281.0,Pop,2023-07-05 23:57:08.135252,5
Song150,Justin Timberlake,343.0,Pop,2023-07-26 11:10:08.135252,3
Song120,Taylor Swift,309.0,Pop,2023-08-03 01:20:08.135252,5
Song100,Britney Spears,132.0,Pop,2023-08-04 04:22:08.135252,5
Song280,Britney Spears,324.0,Pop,2023-07-17 03:33:08.135252,5
Song240,Christina Aguilera,294.0,Pop,2023-07-19 11:23:08.135252,5
Song160,Britney Spears,125.0,Pop,2023-07-09 05:54:08.135252,5
Song290,Madonna,160.0,Pop,2023-07-10 02:05:08.135252,3
Song70,Taylor Swift,233.0,Pop,2023-07-10 16:17:08.135252,4
Song20,Justin Timberlake,203.0,Pop,2023-07-24 05:20:08.135252,4
Song280,Britney Spears,324.0,Pop,2023-07-08 18:18:08.135252,5
Song170,Madonna,134.0,Pop,2023-07-29 00:55:08.135252,5
Song260,Britney Spears,351.0,Pop,2023-08-02 06:16:08.135252,4
Song20,Justin Timberlake,203.0,Pop,2023-07-31 00:21:08.135252,5
Song100,Britney Spears,132.0,Pop,2023-07-30 01:15:08.135252,5
Song150,Justin Timberlake,343.0,Pop,2023-07-04 22:42:08.135252,4
Song230,Britney Spears,353.0,Pop,2023-07-12 23:26:08.135252,4
Song10,Christina Aguilera,134.0,Pop,2023-08-02 17:31:08.135252,4
Song160,Britney Spears,125.0,Pop,2023-07-09 07:07:08.135252,5
Song120,Taylor Swift,309.0,Pop,2023-08-04 04:11:08.135252,5
Song30,Katy Perry,265.0,Pop,2023-07-28 15:09:08.135252,2
Song140,Christina Aguilera,213.0,Pop,2023-08-02 10:30:08.135252,4
Song20,Justin Timberlake,203.0,Pop,2023-07-06 08:49:08.135252,5
Song190,Justin Timberlake,201.0,Pop,2023-07-21 13:44:08.135252,5
Song180,Katy Perry,143.0,Pop,2023-07-17 22:44:08.135252,4
Song170,Madonna,134.0,Pop,2023-08-02 16:44:08.135252,5
Song270,Britney Spears,208.0,Pop,2023-08-01 18:28:08.135252,5
Song110,Madonna,138.0,Pop,2023-07-22 12:07:08.135252,4
Song150,Justin Timberlake,343.0,Pop,2023-08-02 20:05:08.135252,5
Song200,Justin Timberlake,313.0,Pop,2023-07-23 16:25:08.135252,4
Song70,Taylor Swift,233.0,Pop,2023-07-17 01:20:08.135252,5
Song260,Britney Spears,351.0,Pop,2023-07-15 23:56:08.135252,5
Song290,Madonna,160.0,Pop,2023-07-24 04:00:08.135252,4
Song40,Madonna,149.0,Pop,2023-07-25 12:29:08.135252,5
Song210,Britney Spears,330.0,Pop,2023-07-12 13:26:08.135252,5
Song100,Britney Spears,132.0,Pop,2023-07-19 06:57:08.135252,5
Song30,Katy Perry,265.0,Pop,2023-08-04 14:07:08.135252,3
Song200,Justin Timberlake,313.0,Pop,2023-07-19 12:01:08.135252,5
Song170,Madonna,134.0,Pop,2023-07-06 12:44:08.135252,5
Song250,Britney Spears,269.0,Pop,2023-07-13 23:26:08.135252,3
Song90,Madonna,300.0,Pop,2023-07-14 02:16:08.135252,3
Song120,Taylor Swift,309.0,Pop,2023-07-05 13:45:08.135252,5
Song180,Katy Perry,143.0,Pop,2023-08-01 19:45:08.135252,5
Song100,Britney Spears,132.0,Pop,2023-07-13 05:28:08.135252,5
Song210,Britney Spears,330.0,Pop,2023-07-05 20:46:08.135252,5
